x,y,z,t
-0.356722,-6.72407,0.0289822,3.6
-0.289688,-6.74076,0.0292291,3.61
-0.222493,-6.75682,0.0294808,3.62
-0.155143,-6.77224,0.0297372,3.63
-0.0876452,-6.78701,0.0299985,3.64
-0.0200052,-6.80114,0.0302648,3.65
0.0477701,-6.81462,0.0305362,3.66
0.115674,-6.82744,0.0308129,3.67
0.1837,-6.83961,0.0310949,3.68
0.251842,-6.85113,0.0313824,3.69
0.320093,-6.86198,0.0316754,3.7
0.388446,-6.87217,0.0319742,3.71
0.456895,-6.8817,0.0322788,3.72
0.525432,-6.89056,0.0325894,3.73
0.594052,-6.89875,0.0329061,3.74
0.662747,-6.90627,0.0332291,3.75
0.731511,-6.91312,0.0335585,3.76
0.800336,-6.91929,0.0338945,3.77
0.869216,-6.92479,0.0342371,3.78
0.938145,-6.92961,0.0345867,3.79
1.00711,-6.93375,0.0349433,3.8
1.07612,-6.9372,0.035307,3.81
1.14515,-6.93997,0.0356782,3.82
1.2142,-6.94206,0.0360569,3.83
1.28327,-6.94346,0.0364434,3.84
1.35234,-6.94417,0.0368378,3.85
1.42141,-6.94418,0.0372403,3.86
1.49048,-6.94351,0.0376511,3.87
1.55953,-6.94215,0.0380705,3.88
1.62856,-6.94009,0.0384986,3.89
1.69756,-6.93734,0.0389357,3.9
1.76652,-6.93389,0.0393819,3.91
1.83544,-6.92974,0.0398376,3.92
1.90432,-6.9249,0.0403029,3.93
1.97313,-6.91936,0.0407781,3.94
2.04189,-6.91311,0.0412635,3.95
2.11057,-6.90617,0.0417593,3.96
2.17917,-6.89853,0.0422657,3.97
2.24769,-6.89018,0.0427832,3.98
2.31612,-6.88113,0.0433118,3.99
2.38445,-6.87138,0.043852,4
2.45267,-6.86093,0.0444041,4.01
2.52077,-6.84977,0.0449682,4.02
2.58876,-6.83791,0.0455449,4.03
2.65662,-6.82535,0.0461343,4.04
2.72434,-6.81208,0.0467369,4.05
2.79192,-6.79811,0.047353,4.06
2.85935,-6.78344,0.0479829,4.07
2.92663,-6.76806,0.0486271,4.08
2.99374,-6.75198,0.0492858,4.09
3.06068,-6.73519,0.0499596,4.1
3.12744,-6.7177,0.0506488,4.11
3.19402,-6.69951,0.0513538,4.12
3.2604,-6.68062,0.0520751,4.13
3.32659,-6.66103,0.0528131,4.14
3.39257,-6.64073,0.0535683,4.15
3.45833,-6.61974,0.0543412,4.16
3.52387,-6.59805,0.0551322,4.17
3.58918,-6.57565,0.0559418,4.18
3.65426,-6.55257,0.0567707,4.19
3.7191,-6.52878,0.0576193,4.2
3.78368,-6.5043,0.0584881,4.21
3.84801,-6.47912,0.0593778,4.22
3.91208,-6.45326,0.060289,4.23
3.97587,-6.4267,0.0612222,4.24
4.03938,-6.39945,0.0621781,4.25
4.10261,-6.37151,0.0631573,4.26
4.16555,-6.34288,0.0641606,4.27
4.22818,-6.31357,0.0651885,4.28
4.29051,-6.28357,0.0662419,4.29
4.35253,-6.25289,0.0673214,4.3
4.41422,-6.22153,0.0684279,4.31
4.47559,-6.18949,0.069562,4.32
4.53662,-6.15678,0.0707247,4.33
4.59731,-6.12339,0.0719167,4.34
4.65765,-6.08933,0.073139,4.35
4.71763,-6.05459,0.0743923,4.36
4.77725,-6.01919,0.0756777,4.37
4.8365,-5.98313,0.076996,4.38
4.89537,-5.9464,0.0783483,4.39
4.95385,-5.90901,0.0797355,4.4
5.01195,-5.87096,0.0811587,4.41
5.06965,-5.83225,0.082619,4.42
5.12694,-5.79289,0.0841175,4.43
5.18382,-5.75289,0.0856553,4.44
5.24028,-5.71223,0.0872337,4.45
5.29632,-5.67093,0.0888537,4.46
5.35192,-5.62899,0.0905167,4.47
5.40709,-5.58641,0.092224,4.48
5.4618,-5.54319,0.0939769,4.49
5.51607,-5.49935,0.0957768,4.5
5.56987,-5.45487,0.097625,4.51
5.62321,-5.40977,0.0995232,4.52
5.67608,-5.36405,0.101473,4.53
5.72846,-5.31771,0.103475,4.54
5.78036,-5.27075,0.105532,4.55
5.83176,-5.22318,0.107645,4.56
5.88267,-5.17501,0.109816,4.57
5.93306,-5.12623,0.112047,4.58
5.98295,-5.07685,0.114339,4.59
6.03231,-5.02688,0.116695,4.6
6.08115,-4.97632,0.119116,4.61
6.12945,-4.92516,0.121603,4.62
6.17722,-4.87343,0.124161,4.63
6.22444,-4.82111,0.126789,4.64
6.2711,-4.76823,0.129491,4.65
6.31721,-4.71477,0.132269,4.66
6.36275,-4.66074,0.135125,4.67
6.40772,-4.60616,0.138061,4.68
6.45211,-4.55101,0.14108,4.69
6.49592,-4.49532,0.144184,4.7
6.53913,-4.43908,0.147376,4.71
6.58175,-4.3823,0.150658,4.72
6.62376,-4.32497,0.154034,4.73
6.66517,-4.26712,0.157505,4.74
6.70595,-4.20874,0.161075,4.75
6.74612,-4.14984,0.164747,4.76
6.78565,-4.09042,0.168523,4.77
6.82455,-4.03049,0.172407,4.78
6.86281,-3.97005,0.176401,4.79
6.90042,-3.90912,0.18051,4.8
6.93738,-3.84768,0.184736,4.81
6.97368,-3.78576,0.189083,4.82
7.00931,-3.72335,0.193554,4.83
7.04427,-3.66047,0.198153,4.84
7.07856,-3.59711,0.202883,4.85
7.11216,-3.53329,0.207748,4.86
7.14507,-3.469,0.212752,4.87
7.17728,-3.40427,0.217898,4.88
7.20879,-3.33908,0.223191,4.89
7.2396,-3.27345,0.228634,4.9
7.26969,-3.20738,0.234232,4.91
7.29906,-3.14089,0.239989,4.92
7.3277,-3.07397,0.245909,4.93
7.35562,-3.00663,0.251996,4.94
7.38279,-2.93888,0.258254,4.95
7.40923,-2.87073,0.264689,4.96
7.43491,-2.80218,0.271304,4.97
7.45984,-2.73324,0.278104,4.98
7.48401,-2.66392,0.285094,4.99
7.50742,-2.59422,0.292278,5
7.53005,-2.52415,0.299661,5.01
7.5519,-2.45372,0.307248,5.02
7.57298,-2.38293,0.315042,5.03
7.59326,-2.31179,0.32305,5.04
7.61275,-2.24032,0.331276,5.05
7.63144,-2.1685,0.339725,5.06
7.64932,-2.09636,0.348401,5.07
7.6664,-2.0239,0.35731,5.08
7.68265,-1.95113,0.366455,5.09
7.69809,-1.87806,0.375842,5.1
7.7127,-1.80469,0.385476,5.11
7.72647,-1.73103,0.395361,5.12
7.73941,-1.65708,0.405501,5.13
7.7515,-1.58287,0.415902,5.14
7.76275,-1.50839,0.426567,5.15
7.77314,-1.43365,0.437501,5.16
7.78267,-1.35866,0.448708,5.17
7.79133,-1.28343,0.460193,5.18
7.79913,-1.20797,0.471958,5.19
7.80605,-1.13229,0.484008,5.2
7.81209,-1.05638,0.496346,5.21
7.81725,-0.980273,0.508976,5.22
7.82152,-0.903963,0.5219,5.23
7.82489,-0.827461,0.535121,5.24
7.82736,-0.750778,0.548642,5.25
7.82893,-0.67392,0.562465,5.26
7.82959,-0.596898,0.576591,5.27
7.82934,-0.519719,0.591023,5.28
7.82816,-0.442393,0.605761,5.29
7.82607,-0.364928,0.620807,5.3
7.82304,-0.287334,0.636159,5.31
7.81909,-0.20962,0.651818,5.32
7.8142,-0.131794,0.667784,5.33
7.80837,-0.0538658,0.684054,5.34
7.80159,0.0241551,0.700628,5.35
7.79387,0.10226,0.717502,5.36
7.7852,0.180438,0.734674,5.37
7.77557,0.258682,0.75214,5.38
7.76498,0.336981,0.769895,5.39
7.75343,0.415326,0.787934,5.4
7.74091,0.493708,0.806252,5.41
7.72743,0.572116,0.824842,5.42
7.71297,0.650542,0.843695,5.43
7.69754,0.728975,0.862805,5.44
7.68114,0.807405,0.882162,5.45
7.66375,0.885824,0.901756,5.46
7.64538,0.96422,0.921575,5.47
7.62603,1.04259,0.941608,5.48
7.6057,1.12091,0.961842,5.49
7.58438,1.19918,0.982263,5.5
7.56207,1.27739,1.00286,5.51
7.53877,1.35553,1.0236,5.52
7.51449,1.43358,1.04449,5.53
7.48921,1.51155,1.0655,5.54
7.46295,1.58941,1.08662,5.55
7.43569,1.66716,1.10781,5.56
7.40745,1.74479,1.12906,5.57
7.37822,1.82229,1.15036,5.58
7.348,1.89964,1.17167,5.59
7.31679,1.97684,1.19297,5.6
7.2846,2.05388,1.21423,5.61
7.25143,2.13075,1.23544,5.62
7.21728,2.20743,1.25656,5.63
7.18215,2.28392,1.27756,5.64
7.14605,2.3602,1.29842,5.65
7.10898,2.43628,1.3191,5.66
7.07094,2.51212,1.33958,5.67
7.03195,2.58774,1.35982,5.68
6.99199,2.66311,1.37979,5.69
6.95109,2.73823,1.39947,5.7
6.90924,2.81308,1.4188,5.71
6.86645,2.88766,1.43777,5.72
6.82274,2.96196,1.45633,5.73
6.77809,3.03596,1.47446,5.74
6.73253,3.10966,1.49211,5.75
6.68606,3.18305,1.50926,5.76
6.63869,3.25611,1.52586,5.77
6.59042,3.32884,1.54189,5.78
6.54127,3.40123,1.55731,5.79
6.49125,3.47327,1.57208,5.8
6.44037,3.54495,1.58618,5.81
6.38864,3.61625,1.59956,5.82
6.33606,3.68718,1.6122,5.83
6.28265,3.75772,1.62406,5.84
6.22843,3.82786,1.63511,5.85
6.1734,3.8976,1.64533,5.86
6.11757,3.96692,1.65468,5.87
6.06097,4.03581,1.66314,5.88
6.0036,4.10428,1.67068,5.89
5.94547,4.1723,1.67728,5.9
5.88661,4.23987,1.68291,5.91
5.82702,4.30699,1.68755,5.92
5.76673,4.37364,1.69119,5.93
5.70573,4.43982,1.6938,5.94
5.64406,4.50551,1.69538,5.95
5.58172,4.57072,1.6959,5.96
5.51873,4.63543,1.69536,5.97
5.45511,4.69963,1.69375,5.98
5.39087,4.76332,1.69107,5.99
5.32603,4.8265,1.6873,6
5.2606,4.88915,1.68245,6.01
5.1946,4.95126,1.67651,6.02
5.12805,5.01284,1.6695,6.03
5.06096,5.07387,1.66142,6.04
4.99335,5.13436,1.65227,6.05
4.92523,5.19428,1.64207,6.06
4.85663,5.25363,1.63083,6.07
4.78755,5.31242,1.61857,6.08
4.71801,5.37063,1.6053,6.09
4.64803,5.42826,1.59105,6.1
4.57763,5.48531,1.57583,6.11
4.50682,5.54176,1.55968,6.12
4.43561,5.59761,1.54262,6.13
4.36402,5.65286,1.52468,6.14
4.29206,5.7075,1.50589,6.15
4.21975,5.76153,1.48629,6.16
4.14711,5.81494,1.4659,6.17
4.07414,5.86773,1.44477,6.18
4.00086,5.91989,1.42294,6.19
3.92729,5.97142,1.40043,6.2
3.85343,6.02232,1.3773,6.21
3.7793,6.07258,1.35358,6.22
3.70491,6.12219,1.32932,6.23
3.63027,6.17116,1.30455,6.24
3.5554,6.21948,1.27933,6.25
3.4803,6.26715,1.25369,6.26
3.40499,6.31416,1.22769,6.27
3.32947,6.3605,1.20136,6.28
3.25375,6.40619,1.17475,6.29
3.17785,6.4512,1.1479,6.3
3.10177,6.49555,1.12086,6.31
3.02553,6.53922,1.09367,6.32
2.94912,6.58221,1.06637,6.33
2.87256,6.62453,1.03901,6.34
2.79585,6.66616,1.01163,6.35
2.719,6.70711,0.984267,6.36
2.64202,6.74737,0.956962,6.37
2.56492,6.78694,0.929753,6.38
2.48769,6.82582,0.902677,6.39
2.41035,6.864,0.875771,6.4
2.3329,6.90148,0.849069,6.41
2.25534,6.93826,0.822604,6.42
2.17768,6.97434,0.796407,6.43
2.09993,7.00971,0.77051,6.44
2.02208,7.04437,0.744939,6.45
1.94414,7.07833,0.719722,6.46
1.86612,7.11157,0.694883,6.47
1.78802,7.1441,0.670447,6.48
1.70983,7.1759,0.646435,6.49
1.63157,7.20699,0.622866,6.5
1.55323,7.23736,0.599759,6.51
1.47483,7.26701,0.57713,6.52
1.39635,7.29593,0.554994,6.53
1.31781,7.32412,0.533364,6.54
1.2392,7.35158,0.512251,6.55
1.16053,7.37831,0.491666,6.56
1.0818,7.4043,0.471616,6.57
1.00302,7.42956,0.452108,6.58
0.924172,7.45408,0.433146,6.59
0.845272,7.47786,0.414736,6.6
0.76632,7.5009,0.396878,6.61
0.687318,7.52319,0.379575,6.62
0.608266,7.54473,0.362824,6.63
0.529167,7.56553,0.346626,6.64
0.450023,7.58558,0.330976,6.65
0.370837,7.60487,0.315872,6.66
0.291609,7.62342,0.301308,6.67
0.212343,7.6412,0.287278,6.68
0.13304,7.65823,0.273776,6.69
0.0537037,7.67449,0.260793,6.7
-0.0256645,7.69,0.248322,6.71
-0.105062,7.70474,0.236354,6.72
-0.184485,7.71871,0.224878,6.73
-0.263933,7.73192,0.213885,6.74
-0.343401,7.74436,0.203363,6.75
-0.422886,7.75603,0.193301,6.76
-0.502386,7.76693,0.183687,6.77
-0.581897,7.77705,0.174511,6.78
-0.661416,7.7864,0.165758,6.79
