x,y,z,t
10.7744,-1.23573,6.45363,3.58
10.7222,-1.13045,6.78311,3.59
10.6657,-1.02549,7.12577,3.6
10.6047,-0.920887,7.48161,3.61
10.5391,-0.816682,7.85056,3.62
10.4687,-0.712925,8.23245,3.63
10.3935,-0.609664,8.62703,3.64
10.3133,-0.506948,9.03394,3.65
10.2281,-0.404828,9.45271,3.66
10.1376,-0.303357,9.88274,3.67
10.0418,-0.202588,10.3233,3.68
9.94059,-0.102575,10.7735,3.69
9.83388,-0.00337448,11.2324,3.7
9.72159,0.0949576,11.6987,3.71
9.60366,0.192363,12.1712,3.72
9.48002,0.288785,12.6483,3.73
9.35065,0.384163,13.1284,3.74
9.21553,0.478437,13.6097,3.75
9.07465,0.57155,14.0901,3.76
8.92803,0.663439,14.5676,3.77
8.77572,0.754046,15.0399,3.78
8.61778,0.843312,15.5045,3.79
8.4543,0.931176,15.9588,3.8
8.2854,1.01758,16.4004,3.81
8.11122,1.10247,16.8264,3.82
7.93193,1.18579,17.2341,3.83
7.74773,1.26748,17.6208,3.84
7.55885,1.34749,17.9836,3.85
7.36554,1.42577,18.3199,3.86
7.16808,1.50228,18.627,3.87
6.96679,1.57697,18.9025,3.88
6.76199,1.64979,19.1439,3.89
6.55406,1.72071,19.3492,3.9
6.34336,1.78969,19.5165,3.91
6.1303,1.8567,19.6441,3.92
5.91529,1.92172,19.7306,3.93
5.69877,1.98472,19.7751,3.94
5.48117,2.04567,19.7768,3.95
5.26294,2.10458,19.7355,3.96
5.04454,2.16141,19.6513,3.97
4.82641,2.21618,19.5245,3.98
4.60901,2.26888,19.3559,3.99
4.39276,2.31951,19.1468,4
4.1781,2.36807,18.8985,4.01
3.96543,2.41459,18.6128,4.02
3.75516,2.45907,18.292,4.03
3.54765,2.50154,17.9382,4.04
3.34325,2.54202,17.5541,4.05
3.14229,2.58054,17.1424,4.06
2.94506,2.61712,16.706,4.07
2.75183,2.65181,16.2477,4.08
2.56283,2.68463,15.7707,4.09
2.37828,2.71563,15.278,4.1
2.19834,2.74484,14.7725,4.11
2.02317,2.77232,14.2572,4.12
1.85287,2.79809,13.735,4.13
1.68754,2.82222,13.2086,4.14
1.52723,2.84474,12.6806,4.15
1.37198,2.8657,12.1535,4.16
1.22179,2.88515,11.6295,4.17
1.07664,2.90314,11.1107,4.18
