x,y,z,t
0.0675328,-0.277686,0.035248,3.92
0.0699565,-0.277554,0.0352627,3.93
0.0723785,-0.277397,0.0352774,3.94
0.0747988,-0.277216,0.0352921,3.95
0.0772169,-0.27701,0.0353069,3.96
0.0796327,-0.276779,0.0353216,3.97
0.082046,-0.276524,0.0353364,3.98
0.0844564,-0.276245,0.0353513,3.99
0.0868638,-0.27594,0.0353661,4
0.0892678,-0.275611,0.035381,4.01
0.0916683,-0.275257,0.0353959,4.02
0.094065,-0.274879,0.0354107,4.03
0.0964576,-0.274475,0.0354256,4.04
0.0988459,-0.274047,0.0354406,4.05
0.10123,-0.273595,0.0354555,4.06
0.103609,-0.273117,0.0354704,4.07
0.105982,-0.272615,0.0354854,4.08
0.108351,-0.272088,0.0355003,4.09
0.110714,-0.271536,0.0355153,4.1
0.113071,-0.27096,0.0355302,4.11
0.115423,-0.270359,0.0355452,4.12
0.117768,-0.269733,0.0355601,4.13
0.120106,-0.269082,0.0355751,4.14
0.122438,-0.268407,0.03559,4.15
0.124762,-0.267707,0.035605,4.16
0.12708,-0.266983,0.0356199,4.17
0.129389,-0.266234,0.0356348,4.18
0.131692,-0.26546,0.0356497,4.19
0.133986,-0.264662,0.0356646,4.2
0.136271,-0.263839,0.0356795,4.21
0.138549,-0.262992,0.0356944,4.22
0.140817,-0.26212,0.0357093,4.23
0.143077,-0.261224,0.0357241,4.24
0.145327,-0.260303,0.035739,4.25
0.147568,-0.259358,0.0357538,4.26
0.149799,-0.258389,0.0357685,4.27
0.15202,-0.257396,0.0357833,4.28
0.154231,-0.256378,0.035798,4.29
0.156432,-0.255337,0.0358128,4.3
0.158622,-0.254271,0.0358274,4.31
0.160801,-0.253182,0.0358421,4.32
0.162968,-0.252068,0.0358567,4.33
0.165125,-0.25093,0.0358713,4.34
0.16727,-0.249769,0.0358858,4.35
0.169402,-0.248584,0.0359004,4.36
0.171523,-0.247375,0.0359148,4.37
0.173632,-0.246143,0.0359293,4.38
0.175727,-0.244887,0.0359437,4.39
0.17781,-0.243608,0.035958,4.4
0.17988,-0.242306,0.0359723,4.41
0.181937,-0.24098,0.0359866,4.42
0.18398,-0.239631,0.0360008,4.43
0.186009,-0.238259,0.036015,4.44
0.188025,-0.236864,0.0360291,4.45
0.190026,-0.235446,0.0360431,4.46
0.192013,-0.234005,0.0360571,4.47
0.193985,-0.232542,0.0360711,4.48
0.195942,-0.231056,0.036085,4.49
0.197884,-0.229547,0.0360988,4.5
0.199811,-0.228016,0.0361126,4.51
0.201722,-0.226463,0.0361263,4.52
0.203618,-0.224888,0.0361399,4.53
0.205497,-0.22329,0.0361535,4.54
0.20736,-0.221671,0.036167,4.55
0.209207,-0.22003,0.0361805,4.56
0.211037,-0.218367,0.0361938,4.57
0.212851,-0.216682,0.0362071,4.58
0.214647,-0.214977,0.0362204,4.59
0.216426,-0.213249,0.0362335,4.6
0.218187,-0.211501,0.0362466,4.61
0.219931,-0.209732,0.0362596,4.62
0.221656,-0.207942,0.0362725,4.63
0.223364,-0.20613,0.0362853,4.64
0.225053,-0.204299,0.036298,4.65
0.226724,-0.202447,0.0363107,4.66
0.228376,-0.200574,0.0363233,4.67
0.230009,-0.198681,0.0363358,4.68
0.231623,-0.196769,0.0363481,4.69
0.233217,-0.194836,0.0363604,4.7
0.234792,-0.192884,0.0363727,4.71
0.236347,-0.190912,0.0363848,4.72
0.237883,-0.188921,0.0363968,4.73
0.239398,-0.18691,0.0364087,4.74
0.240893,-0.18488,0.0364205,4.75
0.242367,-0.182832,0.0364322,4.76
0.243821,-0.180764,0.0364438,4.77
0.245253,-0.178678,0.0364553,4.78
0.246665,-0.176574,0.0364667,4.79
0.248055,-0.174451,0.036478,4.8
0.249424,-0.172311,0.0364892,4.81
0.250772,-0.170152,0.0365003,4.82
0.252097,-0.167976,0.0365112,4.83
0.253401,-0.165782,0.0365221,4.84
0.254682,-0.163571,0.0365328,4.85
0.255942,-0.161343,0.0365434,4.86
0.257178,-0.159098,0.0365539,4.87
0.258392,-0.156836,0.0365643,4.88
0.259584,-0.154557,0.0365746,4.89
0.260752,-0.152263,0.0365847,4.9
0.261897,-0.149951,0.0365947,4.91
0.263019,-0.147624,0.0366046,4.92
0.264118,-0.145282,0.0366143,4.93
0.265192,-0.142923,0.036624,4.94
0.266244,-0.14055,0.0366334,4.95
0.267271,-0.138161,0.0366428,4.96
0.268274,-0.135757,0.036652,4.97
0.269253,-0.133338,0.0366611,4.98
0.270207,-0.130905,0.0366701,4.99
0.271137,-0.128458,0.0366789,5
0.272043,-0.125996,0.0366876,5.01
0.272924,-0.123521,0.0366961,5.02
0.273779,-0.121032,0.0367045,5.03
0.27461,-0.11853,0.0367128,5.04
0.275416,-0.116014,0.0367209,5.05
0.276196,-0.113485,0.0367289,5.06
0.276951,-0.110944,0.0367367,5.07
0.27768,-0.10839,0.0367444,5.08
0.278384,-0.105824,0.0367519,5.09
0.279061,-0.103246,0.0367593,5.1
0.279713,-0.100656,0.0367665,5.11
0.280339,-0.0980545,0.0367736,5.12
0.280939,-0.0954415,0.0367805,5.13
0.281512,-0.0928175,0.0367873,5.14
0.282059,-0.0901826,0.0367939,5.15
0.28258,-0.0875371,0.0368003,5.16
0.283074,-0.0848813,0.0368066,5.17
0.283542,-0.0822153,0.0368128,5.18
0.283982,-0.0795394,0.0368187,5.19
0.284396,-0.0768539,0.0368245,5.2
0.284783,-0.074159,0.0368302,5.21
0.285142,-0.0714549,0.0368357,5.22
0.285475,-0.068742,0.036841,5.23
0.28578,-0.0660205,0.0368461,5.24
0.286059,-0.0632906,0.0368511,5.25
0.286309,-0.0605526,0.0368559,5.26
0.286532,-0.0578067,0.0368606,5.27
0.286728,-0.0550532,0.0368651,5.28
0.286896,-0.0522924,0.0368694,5.29
0.287037,-0.0495246,0.0368735,5.3
0.287149,-0.0467499,0.0368775,5.31
0.287234,-0.0439687,0.0368813,5.32
0.287291,-0.0411812,0.0368849,5.33
0.28732,-0.0383877,0.0368883,5.34
0.287321,-0.0355884,0.0368916,5.35
0.287294,-0.0327837,0.0368947,5.36
0.287239,-0.0299738,0.0368976,5.37
0.287155,-0.0271589,0.0369003,5.38
0.287044,-0.0243394,0.0369029,5.39
0.286904,-0.0215155,0.0369052,5.4
0.286736,-0.0186874,0.0369074,5.41
0.28654,-0.0158556,0.0369095,5.42
0.286315,-0.0130202,0.0369113,5.43
0.286062,-0.0101815,0.0369129,5.44
0.28578,-0.00733975,0.0369144,5.45
0.28547,-0.00449531,0.0369157,5.46
0.285132,-0.00164842,0.0369168,5.47
0.284765,0.00120064,0.0369177,5.48
0.284369,0.00405159,0.0369184,5.49
0.283946,0.00690414,0.036919,5.5
0.283493,0.00975802,0.0369193,5.51
0.283012,0.0126129,0.0369195,5.52
0.282502,0.0154686,0.0369195,5.53
0.281964,0.0183248,0.0369193,5.54
0.281397,0.0211811,0.0369189,5.55
0.280802,0.0240373,0.0369183,5.56
0.280178,0.0268932,0.0369175,5.57
0.279526,0.0297484,0.0369166,5.58
0.278845,0.0326026,0.0369154,5.59
0.278136,0.0354556,0.0369141,5.6
0.277398,0.0383071,0.0369126,5.61
0.276631,0.0411567,0.0369108,5.62
0.275836,0.0440042,0.0369089,5.63
0.275013,0.0468493,0.0369068,5.64
0.274161,0.0496918,0.0369045,5.65
0.273281,0.0525312,0.0369021,5.66
0.272373,0.0553674,0.0368994,5.67
0.271436,0.0582001,0.0368965,5.68
0.270471,0.0610288,0.0368935,5.69
0.269477,0.0638535,0.0368903,5.7
0.268456,0.0666737,0.0368868,5.71
0.267406,0.0694892,0.0368832,5.72
0.266328,0.0722997,0.0368794,5.73
0.265223,0.0751049,0.0368754,5.74
0.264089,0.0779045,0.0368712,5.75
0.262927,0.0806982,0.0368668,5.76
0.261738,0.0834857,0.0368623,5.77
0.26052,0.0862668,0.0368575,5.78
0.259275,0.0890411,0.0368525,5.79
0.258002,0.0918083,0.0368474,5.8
0.256702,0.0945683,0.0368421,5.81
0.255374,0.0973206,0.0368366,5.82
0.254019,0.100065,0.0368308,5.83
0.252636,0.102801,0.036825,5.84
0.251226,0.105529,0.0368189,5.85
0.249789,0.108248,0.0368126,5.86
0.248325,0.110957,0.0368061,5.87
0.246834,0.113658,0.0367995,5.88
0.245316,0.116349,0.0367927,5.89
0.243771,0.119029,0.0367857,5.9
0.2422,0.1217,0.0367784,5.91
0.240602,0.12436,0.0367711,5.92
0.238977,0.127009,0.0367635,5.93
0.237326,0.129648,0.0367557,5.94
0.235649,0.132275,0.0367478,5.95
0.233946,0.13489,0.0367397,5.96
0.232217,0.137493,0.0367314,5.97
0.230461,0.140084,0.0367229,5.98
0.228681,0.142662,0.0367142,5.99
0.226874,0.145228,0.0367054,6
0.225042,0.147781,0.0366964,6.01
0.223184,0.15032,0.0366872,6.02
0.221302,0.152846,0.0366778,6.03
0.219394,0.155357,0.0366682,6.04
0.217461,0.157855,0.0366585,6.05
0.215504,0.160338,0.0366486,6.06
0.213522,0.162806,0.0366385,6.07
0.211515,0.165259,0.0366283,6.08
0.209484,0.167697,0.0366179,6.09
0.207429,0.17012,0.0366073,6.1
0.205349,0.172526,0.0365965,6.11
0.203246,0.174917,0.0365856,6.12
0.201119,0.177291,0.0365745,6.13
0.198969,0.179648,0.0365632,6.14
0.196795,0.181989,0.0365518,6.15
0.194598,0.184312,0.0365402,6.16
0.192378,0.186618,0.0365284,6.17
0.190135,0.188906,0.0365165,6.18
0.18787,0.191176,0.0365044,6.19
0.185582,0.193428,0.0364921,6.2
0.183272,0.195661,0.0364797,6.21
